year,month,date,action,resourceType,resource
2025,November,2025-11-19 23:30:22-05:00,Remove,IP,142.249.128.0-142.249.131.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,2602:81C:C000::-2602:81C:C0FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-19 23:30:22-05:00,Add,IP,2604:2A20::-2604:2A20:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-19 23:30:22-05:00,Add,IP,2604:2A60::-2604:2A60:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-19 23:30:22-05:00,Add,IP,64.255.8.0-64.255.9.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,64.255.12.0-64.255.13.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,75.78.0.0-75.78.255.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,104.204.160.0-104.204.175.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,130.12.4.0-130.12.7.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,130.12.76.0-130.12.79.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,130.12.96.0-130.12.99.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,142.249.128.0-142.249.131.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,153.55.128.0-153.55.159.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,173.252.136.0-173.252.136.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,206.223.224.0-206.223.239.255
2025,November,2025-11-19 23:30:22-05:00,Add,IP,208.94.212.0-208.94.212.255
2025,November,2025-11-19 23:30:22-05:00,Remove,ASN,AS53775
2025,November,2025-11-19 23:30:22-05:00,Add,ASN,AS53775
2025,November,2025-11-19 23:30:22-05:00,Add,ASN,AS395383
2025,November,2025-11-19 23:30:22-05:00,Add,ASN,AS395521
2025,November,2025-11-19 23:30:22-05:00,Add,ASN,AS395869
2025,November,2025-11-20 23:30:22-05:00,Remove,IP,142.249.104.0-142.249.107.255
2025,November,2025-11-20 23:30:22-05:00,Remove,IP,142.249.176.0-142.249.179.255
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4BC::-2602:F4BC:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4BD::-2602:F4BD:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4BE::-2602:F4BE:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4BF::-2602:F4BF:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4C0::-2602:F4C0:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2602:F4C1::-2602:F4C1:FFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2604:2AA0::-2604:2AA0:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,2620:E0:2000::-2620:E0:2000:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-20 23:30:22-05:00,Add,IP,23.149.236.0-23.149.236.255
2025,November,2025-11-20 23:30:22-05:00,Add,IP,23.149.244.0-23.149.244.255
2025,November,2025-11-20 23:30:22-05:00,Add,IP,23.149.252.0-23.149.252.255
